vehicle_1,vehicle_2,vehicle_1_route,vehicle_2_route,weighted_congestion_score
12,405,1,2,3.1024433627226395
12,405,2,2,6.549529583822016
12,423,1,1,0.0
12,423,1,2,0.2909098473487055
12,423,2,1,0.8005608136340314
12,423,2,2,1.3123629818286298
12,465,1,1,0.6372749404863602
12,465,1,2,0.5744327157550344
12,465,2,1,1.3558541668468378
12,465,2,2,0.34246185923749467
12,617,2,1,0.5029592683526933
12,746,1,1,0.4987593476857578
12,746,2,1,0.9169477346662743
12,790,1,1,1.0205894429360955
12,790,2,1,1.4003051125527313
12,890,2,2,0.0
12,964,1,2,0.3869777619309724
13,26,2,1,0.9468545492335823
13,31,1,1,2.368875729366974
13,31,1,2,2.368875729366974
13,31,2,1,2.368875729366974
13,31,2,2,2.368875729366974
13,38,1,2,0.0
13,39,1,1,0.0
13,49,2,1,0.6711495588705725
13,49,2,2,0.0
13,55,1,1,0.9712819966035201
13,93,2,2,1.8416101573328756
13,160,1,2,0.0
13,164,2,2,1.9865577209527656
13,238,2,2,0.4022980666754348
13,242,1,1,0.0
13,253,2,1,11.648973482091428
13,345,2,1,2.9055450758196293
13,375,1,2,0.0
13,388,2,1,1.5353552628907579
13,423,1,1,0.0
13,485,1,2,4.62493651014905
13,500,1,2,1.545017012869359
13,500,2,2,1.545017012869359
13,570,2,2,0.0
13,586,1,1,0.0
13,614,1,1,5.426345977431171
13,614,2,1,5.426345977431171
13,617,1,1,14.62779805351237
13,618,1,1,6.895312731580615
13,618,1,2,2.6775466856372994
13,618,2,1,2.6775466856372994
13,618,2,2,12.9523779834673
13,708,1,1,1.6355111000451767
13,708,1,2,1.6355111000451767
13,708,2,1,1.6355111000451767
13,708,2,2,1.6355111000451767
13,712,2,1,0.670988314429029
13,723,1,1,0.0
13,746,1,1,0.0
13,790,1,1,0.0
13,885,1,1,1.6718269779536152
13,885,1,2,1.6718269779536152
13,885,2,1,1.6718269779536152
13,885,2,2,1.6718269779536152
13,892,2,2,0.9576858319425081
13,897,1,1,0.4611237950008343
13,945,2,2,2.0128613061922427
13,953,1,2,2.3809670906343605
14,104,1,1,1.648730732906296
14,104,1,2,0.5521065651317116
14,129,1,2,0.4586005590019193
14,217,1,1,15.629740164412588
14,289,1,1,0.8723853183315058
14,611,1,2,0.40402415070060527
14,656,1,2,0.0
14,659,1,1,0.6277404863941753
14,685,1,1,0.34621132215522915
14,687,1,1,1.2368109702025247
14,704,1,2,2.048952499888179
14,757,1,1,0.6962398155162517
14,773,1,2,0.5777229521644657
14,785,1,1,14.969525005689029
14,791,1,1,10.740169252814965
14,791,1,2,0.39954804393859394
14,816,1,1,2.5021971084080326
14,840,1,2,0.0
14,877,1,1,0.3265982922414562
15,95,1,1,3.8789016972539763
15,208,1,1,1.015422115186781
15,210,1,1,1.5001344086885835
15,232,1,1,0.22847703748655898
15,363,1,1,5.559208754918973
